Timestamp,How many animals are living in the farm (do not write anything but a number in this field - comments can be added below),Is your student number odd or even,Would you mind sharing your gender?,Any other comment you might have about the farm?
4/10/2022 9:36,450,I am not a EN student,Male,How deep is the grey part at the end of the bottle? I would propose a stratified design ;)
4/10/2022 9:39,200,I am not a EN student,Female,
4/10/2022 9:42,320,I am not a EN student,Male,
4/10/2022 10:05,304,I am not a EN student,Male,
4/10/2022 10:16,1000,I am not a EN student,Male,
4/10/2022 10:28,260,Odd (impar),Male,
4/10/2022 10:29,170,Even (par),Female,
4/10/2022 10:29,220,Even (par),Male,
4/10/2022 10:30,65,Odd (impar),Male,
4/10/2022 10:30,236,Even (par),Female,
4/10/2022 10:30,122,Odd (impar),Male,Slightly overcrowded (?)
4/10/2022 10:30,500,Even (par),Female,
4/10/2022 10:30,8,Even (par),Male,
4/10/2022 10:30,70,Odd (impar),Female,
4/10/2022 10:30,216,Even (par),Male,It might be delicious in boiled water 
4/10/2022 10:31,457,Odd (impar),Male,
4/10/2022 10:31,50,Odd (impar),Male,
4/10/2022 10:31,724,Even (par),Female,
4/10/2022 10:31,250,Odd (impar),Female,
4/10/2022 10:31,234,Odd (impar),Female,Poor animals living in a bottle 😂
4/10/2022 10:31,300,Odd (impar),Female,
4/10/2022 10:31,203,Odd (impar),Female,
4/10/2022 10:31,250,Even (par),Female,Posso ficar com um dos animais?
4/10/2022 10:31,378,Odd (impar),Male,
4/10/2022 10:31,50,Even (par),Female,
4/10/2022 10:31,150,Odd (impar),Male,
4/10/2022 10:31,350,Even (par),Female,
4/10/2022 10:31,543,Even (par),Female,
4/10/2022 10:31,400,Even (par),Female,Parecia ter menos animais
4/10/2022 10:32,180,Odd (impar),Female,🐄
4/10/2022 10:32,400,Even (par),Female,
4/10/2022 10:32,400,Even (par),Female,
4/10/2022 10:32,1400,Odd (impar),Female,Espero que não comam os animais da quinta :)
4/10/2022 10:32,110,Even (par),Female,
4/10/2022 10:32,289,Odd (impar),Male,They seem rather unalive
4/10/2022 10:32,213,Odd (impar),Female,
4/10/2022 10:32,213,Even (par),Female,
4/10/2022 10:32,234,Even (par),Male,
4/10/2022 10:32,364,Even (par),Male,
4/10/2022 10:32,28,Even (par),Female,🧎🏻‍♀️
4/10/2022 10:32,183,Odd (impar),Male,"Espero que pato esteja mesmo bem
Acho que vai ter, no geral, um número entre 150 a 250"
4/10/2022 10:32,150,Odd (impar),Male,
4/10/2022 10:32,176,Odd (impar),Other,Go vegan 
4/10/2022 10:32,500,Odd (impar),Female,
4/10/2022 10:33,2700,Odd (impar),Male,
4/10/2022 10:33,190,Odd (impar),Female,
4/10/2022 10:33,800,Even (par),Female,
4/10/2022 10:33,100,Even (par),Male,
4/10/2022 10:33,130,Odd (impar),Male,
4/10/2022 10:33,53,Odd (impar),Female,
4/10/2022 10:33,55,Odd (impar),Female,
4/10/2022 10:34,250,Odd (impar),Female,
4/10/2022 10:34,500,Even (par),Male,The living conditions don’t seem great 
4/10/2022 10:35,700,Even (par),Female,
4/10/2022 10:35,176,Odd (impar),Rather not tell,Go vegan
4/10/2022 10:36,254,Even (par),Male,
4/10/2022 10:37,750,Odd (impar),Female,
